Company Name,Company Name-Apollo,# Employees,Industry,Website,Company Linkedin Url,Company City,Company State,Annual Revenue,SIC Codes,Prerequisite: Determine Research Guidelines,Qualify Account,Prerequisite: Research Target Company
Questel,Questel-Apollo,1600,information technology & services,http://www.questel.com,http://www.linkedin.com/company/questel,Paris,Ile-de-France,54900000,7375,,,
"American Unit, Inc","American Unit, Inc-Apollo",210,information technology & services,http://www.americanunit.com,http://www.linkedin.com/company/american-unit-inc,Plano,Texas,10000000,7379,,,
DaCodes.,DaCodes.-Apollo,260,information technology & services,http://www.dacodes.com,http://www.linkedin.com/company/dacodes,Houston,Texas,,7375,,,
Consensus Cloud Solutions,Consensus Cloud Solutions-Apollo,520,information technology & services,http://www.consensus.com,http://www.linkedin.com/company/consensus-cloud-solutions,Los Angeles,California,349696000,7375,,,
Unico ID,Unico ID-Apollo,830,information technology & services,http://www.unico.io,http://www.linkedin.com/company/unicoio,Sao Paulo,State of Sao Paulo,40000000,7375,,,
JSAN Consulting Group,JSAN Consulting Group-Apollo,230,information technology & services,http://www.jsanconsulting.com,http://www.linkedin.com/company/jsan-consulting-group,Brentford,England,,7371,,,
CyberX Info System,CyberX Info System-Apollo,300,information technology & services,http://www.cyberxinfosystem.info,http://www.linkedin.com/company/cyberx-infosystem-pvt-ltd,Frederick,Maryland,46900000,7375,,,
Zemsania Global Group,Zemsania Global Group-Apollo,250,information technology & services,http://www.zemsaniaglobalgroup.com,http://www.linkedin.com/company/zemsania-global-group,Barcelona,Catalonia,,7375,,,
ConsultNet Technology Services and Solutions,ConsultNet Technology Services and Solutions-Apollo,210,information technology & services,http://www.consultnet.com,http://www.linkedin.com/company/consultnet,South Jordan,Utah,27700000,7375,,,
InnoWave,InnoWave-Apollo,410,information technology & services,http://www.innowave.tech,http://www.linkedin.com/company/innowave-technologies,Lisbon,Lisbon,23000000,7375,,,
Fluido,Fluido-Apollo,500,information technology & services,http://www.fluidogroup.com,http://www.linkedin.com/company/fluido-oy,Espoo,,20931000,7375,,,
4CAD Group,4CAD Group-Apollo,600,information technology & services,http://www.4cadgroup.com,http://www.linkedin.com/company/4cad-group,Bouguenais,Pays de la Loire,104000000,3571,,,
CitNOW Group,CitNOW Group-Apollo,400,information technology & services,http://www.citnowgroup.com,http://www.linkedin.com/company/citnowgroup,Wokingham,England,10000000,7375,,,
ETG Digital,ETG Digital-Apollo,210,information technology & services,http://www.etg.digital,http://www.linkedin.com/company/etgdigital,Plano,Texas,1700000,7375,,,
Veltris,Veltris-Apollo,720,information technology & services,http://www.veltris.com,http://www.linkedin.com/company/veltris,Milpitas,California,153100000,7375,,,
ISPERO,ISPERO-Apollo,500,information technology & services,http://www.ispero.us,http://www.linkedin.com/company/ispero-us,,,,7375,,,
IST Networks,IST Networks-Apollo,300,information technology & services,http://www.istnetworks.com,http://www.linkedin.com/company/ist-networks,Cairo,Cairo Governorate,11000000,7375,,,
West Monroe,West Monroe-Apollo,2000,management consulting,http://www.westmonroe.com,http://www.linkedin.com/company/westmonroe,Chicago,Illinois,550000000,8742,,,
ConnectWise,ConnectWise-Apollo,1900,information technology & services,http://www.connectwise.com,http://www.linkedin.com/company/connectwise,Tampa,Florida,1000000000,7375,,,
Fastly,Fastly-Apollo,1100,information technology & services,http://www.fastly.com,http://www.linkedin.com/company/fastly,San Francisco,California,624018000,7375,,,
Droisys,Droisys-Apollo,450,information technology & services,http://www.droisys.com,http://www.linkedin.com/company/droisys,Fremont,California,21600000,7375,,,
Riskified,Riskified-Apollo,660,information technology & services,http://www.riskified.com,http://www.linkedin.com/company/riskified,New York,New York,327516000,7375,,,
New York Global Consultants Inc. (NYGCI),New York Global Consultants Inc. (NYGCI)-Apollo,250,information technology & services,http://www.nygci.com,http://www.linkedin.com/company/new-york-global-consultants-corporation-inc,Uniondale,New York,28400000,7375,,,
CrossCountry Consulting,CrossCountry Consulting-Apollo,1300,management consulting,http://www.crosscountry-consulting.com,http://www.linkedin.com/company/crosscountry-consulting,McLean,Virginia,187500000,8742,,,
Dotsquares,Dotsquares-Apollo,1500,information technology & services,http://www.dotsquares.com,http://www.linkedin.com/company/dotsquares,London,,161900000,"7371, 7372",,,
8x8,8x8-Apollo,2000,information technology & services,http://www.8x8.com,http://www.linkedin.com/company/8x8,Campbell,California,715070000,7375,,,
Index Analytics LLC,Index Analytics LLC-Apollo,270,information technology & services,http://www.index-analytics.com,http://www.linkedin.com/company/index-analytics-llc,Milford Mill,Maryland,29500000,7375,,,
Applicable,Applicable-Apollo,210,information technology & services,http://www.applicable.com,http://www.linkedin.com/company/applicable,Bristol,England,10000000,7375,,,
Mastek,Mastek-Apollo,1400,information technology & services,http://www.mastek.com,http://www.linkedin.com/company/mastek,Reading,England,404468000,7375,,,
Corporate Visions,Corporate Visions-Apollo,270,management consulting,http://www.corporatevisions.com,http://www.linkedin.com/company/corporate-visions-inc-,Mesa,Arizona,29200000,8742,,,
Framework Digital,Framework Digital-Apollo,450,information technology & services,http://www.frameworkdigital.com.br,http://www.linkedin.com/company/frameworkdigital,Belo Horizonte,State of Minas Gerais,,7375,,,
Sangoma,Sangoma-Apollo,680,telecommunications,http://www.sangoma.com,http://www.linkedin.com/company/sangoma,Markham,Ontario,331780000,3661,,,
Systematix,Systematix-Apollo,800,information technology & services,http://www.systematix.com,http://www.linkedin.com/company/systematix,Calgary,Alberta,100000000,7371,,,
Quantum Integrators,Quantum Integrators-Apollo,280,information technology & services,http://www.quantumintegrators.com,http://www.linkedin.com/company/quantum-integrators-group-llc,West Windsor Township,New Jersey,5511000,7375,,,
CRU,CRU-Apollo,790,management consulting,http://www.crugroup.com,http://www.linkedin.com/company/cru,London,England,83000000,8711,,,
Insight Investments,Insight Investments-Apollo,350,information technology & services,http://www.insightinvestments.com,http://www.linkedin.com/company/insight-investments,Irvine,California,158162000,7389,,,
KTek Resourcing,KTek Resourcing-Apollo,310,information technology & services,http://www.ktekresourcing.com,http://www.linkedin.com/company/ktekresourcing,Houston,Texas,39100000,7361,,,
V Group Inc.,V Group Inc.-Apollo,1100,information technology & services,http://www.vgroupinc.com,http://www.linkedin.com/company/v-group,East Windsor,New Jersey,4100000,7375,,,
Zywave,Zywave-Apollo,1000,information technology & services,http://www.zywave.com,http://www.linkedin.com/company/zywave,Wauwatosa,Wisconsin,87100000,7375,,,
AMcom Sistemas de Informação,AMcom Sistemas de Informação-Apollo,530,information technology & services,http://www.amcom.com.br,http://www.linkedin.com/company/amcom,Blumenau,Santa Catarina,250000000,7375,,,
DoubleVerify,DoubleVerify-Apollo,1200,information technology & services,http://www.doubleverify.com,http://www.linkedin.com/company/doubleverify-inc,New York,New York,748291000,7375,,,
DevCom,DevCom-Apollo,240,information technology & services,http://www.devcom.com,http://www.linkedin.com/company/devcom,Port Orange,Florida,21018000,7375,,,
Concord,Concord-Apollo,710,information technology & services,http://www.concordusa.com,http://www.linkedin.com/company/concord,Hopkins,Minnesota,100600000,7375,,,
Denodo,Denodo-Apollo,600,information technology & services,http://www.denodo.com,http://www.linkedin.com/company/denodo-technologies,Palo Alto,California,288500000,7375,,,
Perfaware,Perfaware-Apollo,260,information technology & services,http://www.perfaware.com,http://www.linkedin.com/company/perfaware,Irving,Texas,4171000,7371,,,
Zachary Piper Solutions,Zachary Piper Solutions-Apollo,280,information technology & services,http://www.zacharypiper.com,http://www.linkedin.com/company/zachary-piper-solutions,McLean,Virginia,60800000,7375,,,
SOFTWAY MEDICAL,SOFTWAY MEDICAL-Apollo,750,information technology & services,http://www.groupesoftwaymedical.com,http://www.linkedin.com/company/softway-medical,Fuveau,Provence-Alpes-Cote d'Azur,31000000,7375,,,
Perion,Perion-Apollo,530,information technology & services,http://www.perion.com,http://www.linkedin.com/company/perion,New York,New York,439927000,7375,,,
CG Infinity,CG Infinity-Apollo,500,information technology & services,http://www.cginfinity.com,http://www.linkedin.com/company/cginfinity,Plano,Texas,97000000,7375,,,
Capitole,Capitole-Apollo,1100,information technology & services,http://www.capitole-consulting.com,http://www.linkedin.com/company/capitole-consulting,Barcelona,Catalonia,,7371,,,
hmmh AG,hmmh AG-Apollo,250,information technology & services,http://www.hmmh.de,http://www.linkedin.com/company/hmmh-ag,Bremen,Bremen,32000000,7375,,,
Foodics,Foodics-Apollo,670,information technology & services,http://www.foodics.com,http://www.linkedin.com/company/foodics,Riyadh,Riyadh Province,20800000,7375,,,
Epignosis learning technologies,Epignosis learning technologies-Apollo,270,information technology & services,http://www.epignosishq.com,http://www.linkedin.com/company/epignosis-ltd,San Francisco,California,20100000,7375,,,
Kastech Software Solutions Group,Kastech Software Solutions Group-Apollo,1500,information technology & services,http://www.kastechssg.com,http://www.linkedin.com/company/kastech-software-solutions-group,Richmond,Texas,120000000,7375,,,
"HYCU, Inc.","HYCU, Inc.-Apollo",280,information technology & services,http://www.hycu.com,http://www.linkedin.com/company/hycu,Boston,Massachusetts,58000000,7375,,,
KAYAK,KAYAK-Apollo,1100,information technology & services,http://www.kayak.com,http://www.linkedin.com/company/kayak,Stamford,Connecticut,273500000,7375,,,
Trulioo,Trulioo-Apollo,420,information technology & services,http://www.trulioo.com,http://www.linkedin.com/company/trulioo,Vancouver,British Columbia,150600000,7375,,,
Henry Schein One,Henry Schein One-Apollo,1500,information technology & services,http://www.henryscheinone.com,http://www.linkedin.com/company/henry-schein-one,American Fork,Utah,630000000,7372,,,
Ditech Group,Ditech Group-Apollo,260,information technology & services,http://www.ditech.es,http://www.linkedin.com/company/grupo-ditech,Madrid,Community of Madrid,39100000,7375,,,
Per Scholas,Per Scholas-Apollo,1900,information technology & services,http://www.perscholas.org,http://www.linkedin.com/school/perscholas,New York,New York,70003000,8299,,,
eXalt,eXalt-Apollo,1100,information technology & services,http://www.exalt-company.com,http://www.linkedin.com/company/exalt-company,Montreal,Quebec,,8742,,,
ITRS,ITRS-Apollo,370,information technology & services,http://www.itrsgroup.com,http://www.linkedin.com/company/itrsgroup,,England,41300000,7372,,,
Seismic,Seismic-Apollo,1400,information technology & services,http://www.seismic.com,http://www.linkedin.com/company/seismic,San Diego,California,375000000,7375,,,
KGiSL,KGiSL-Apollo,1600,information technology & services,http://www.kgisl.com,http://www.linkedin.com/company/kgisl,Coimbatore,Tamil Nadu,16000000,7375,,,
Neutrino Tech Systems,Neutrino Tech Systems-Apollo,220,information technology & services,http://www.neutrinotechsystems.com,http://www.linkedin.com/company/neutrinotechsystems,Cedar Park,Texas,74600000,7375,,,
Algoworks,Algoworks-Apollo,630,information technology & services,http://www.algoworks.com,http://www.linkedin.com/company/algoworks,Ramsey,New Jersey,112000000,7375,,,
Comforth Easyfront,Comforth Easyfront-Apollo,220,information technology & services,http://www.comforth-easyfront.eu,http://www.linkedin.com/company/comforth-groupe-magellan,Paris,Ile-de-France,33000000,,,,
株式会社カオナビ,株式会社カオナビ-Apollo,360,information technology & services,http://www.kaonavi.jp,http://www.linkedin.com/company/kaonavi,Shibuya,Tokyo,64000000,7375,,,
Pwrteams,Pwrteams-Apollo,800,information technology & services,http://www.pwrteams.com,http://www.linkedin.com/company/pwrteams,Tallinn,Harju County,102000000,7375,,,
Robotics Technologies LLC,Robotics Technologies LLC-Apollo,260,information technology & services,http://www.roboticstechno.com,http://www.linkedin.com/company/robotics-technologies-llc,Duncanville,Texas,,3581,,,
Astound Digital,Astound Digital-Apollo,1300,information technology & services,http://www.astounddigital.com,http://www.linkedin.com/company/astound-digital,Atlanta,Georgia,250000000,7375,,,
Liferay,Liferay-Apollo,1200,information technology & services,http://www.liferay.com,http://www.linkedin.com/company/liferay-inc-,Diamond Bar,California,37100000,7375,,,
Datasite,Datasite-Apollo,1500,information technology & services,http://www.datasite.com,http://www.linkedin.com/company/datasiteglobal,Minneapolis,Minnesota,157900000,6799,,,
Realatte,Realatte-Apollo,260,online media,http://www.realatte.com,http://www.linkedin.com/company/realatte,Mumbai,Maharashtra,,6799,,,
Dilaco,Dilaco-Apollo,260,information technology & services,http://www.dilaco.eu,http://www.linkedin.com/company/dilaco-eu,Zaventem,Flanders,16000000,7375,,,
Auctane,Auctane-Apollo,1400,information technology & services,http://www.auctane.com,http://www.linkedin.com/company/auctane,Austin,Texas,457000000,7375,,,
Elad Software Systems,Elad Software Systems-Apollo,690,information technology & services,http://www.elad.co.il,http://www.linkedin.com/company/elad-systems,Tel Aviv-Yafo,Tel Aviv District,134000000,7371,,,
Webiz International,Webiz International-Apollo,210,information technology & services,http://www.webiz.com,http://www.linkedin.com/company/webizcom,Tel Aviv-Yafo,Tel Aviv District,19100000,7361,,,
Cloudity,Cloudity-Apollo,350,information technology & services,http://www.cloudity.digital,http://www.linkedin.com/company/cloudity,Grenoble,Auvergne-Rhone-Alpes,30000000,7375,,,
Telstra Health,Telstra Health-Apollo,840,information technology & services,http://www.telstrahealth.com,http://www.linkedin.com/company/telstra-health_health-services,Melbourne,Victoria,181397000,7375,,,
Beacon Hill,Beacon Hill-Apollo,1400,management consulting,http://www.bhsg.com,http://www.linkedin.com/company/beacon-hill-bhsg,Boston,Massachusetts,1023000000,,,,
Royal Cyber Inc.,Royal Cyber Inc.-Apollo,1400,information technology & services,http://www.royalcyber.com,http://www.linkedin.com/company/royal-cyber-inc-,Naperville,Illinois,133500000,7375,,,
RDT,RDT-Apollo,1300,information technology & services,http://www.rdt.com,http://www.linkedin.com/company/rdt-com,,Basque Country,125000000,8711,,,
AutoScout24,AutoScout24-Apollo,810,information technology & services,http://www.autoscout24.de,http://www.linkedin.com/company/autoscout24,Muenchen,Bayern,207598000,7359,,,
"LGS, an IBM Company","LGS, an IBM Company-Apollo",770,information technology & services,http://www.lgs.com,http://www.linkedin.com/company/societe_conseil_groupe_lgs,,Quebec,11000000,7371,,,
SDLC Corp,SDLC Corp-Apollo,380,information technology & services,http://www.sdlccorp.com,http://www.linkedin.com/company/sdlccorp,San Francisco,California,43900000,7375,,,
"Comscore, Inc.","Comscore, Inc.-Apollo",1200,information technology & services,http://www.comscore.com,http://www.linkedin.com/company/comscore,Reston,Virginia,356047000,7375,,,
Reward Gateway,Reward Gateway-Apollo,820,information technology & services,http://www.rewardgateway.com,http://www.linkedin.com/company/reward-gateway,London,England,234990000,8742,,,
Verinext,Verinext-Apollo,350,information technology & services,http://www.verinext.com,http://www.linkedin.com/company/verinext,Blue Bell,Pennsylvania,90000000,7371,,,
Craftware,Craftware-Apollo,440,information technology & services,http://www.craftware.com,http://www.linkedin.com/company/craftware-global,Warszawa,woj. mazowieckie,,7375,,,
Nebius,Nebius-Apollo,1400,information technology & services,http://www.nebius.com,http://www.linkedin.com/company/nebius,Amsterdam,North Holland,529800000,3571,,,
Voyatek,Voyatek-Apollo,780,information technology & services,http://www.voyatek.com,http://www.linkedin.com/company/voyatek,Columbia,Maryland,185000000,7375,,,
コムチュアネットワーク（株）,コムチュアネットワーク（株）-Apollo,1800,information technology & services,http://www.comture-net.com,http://www.linkedin.com/company/%e3%82%b3%e3%83%a0%e3%83%81%e3%83%a5%e3%82%a2%e3%83%8d%e3%83%83%e3%83%88%e3%83%af%e3%83%bc%e3%82%af%ef%bc%88%e6%a0%aa%ef%bc%89,Shinagawa City,Tokyo,243808000,,,,
Galent,Galent-Apollo,320,information technology & services,http://www.galent.com,http://www.linkedin.com/company/galenthq,,New Jersey,,7375,,,
Arcadia,Arcadia-Apollo,770,information technology & services,http://www.arcadia.com,http://www.linkedin.com/company/arcadiahq,Washington,District of Columbia,270000000,7375,,,
New York Technology Partners,New York Technology Partners-Apollo,260,staffing & recruiting,http://www.nytp.com,http://www.linkedin.com/company/new-york-technology-partners,Jersey City,New Jersey,40000000,7375,,,
"Ateko, backed by Bell Canada","Ateko, backed by Bell Canada-Apollo",640,information technology & services,http://www.ateko.com,http://www.linkedin.com/company/hello-ateko,Montreal,Quebec,,7375,,,
Surgical Information Systems,Surgical Information Systems-Apollo,690,information technology & services,http://www.sisfirst.com,http://www.linkedin.com/company/surgical-information-systems,Alpharetta,Georgia,60000000,7375,,,
Telesign,Telesign-Apollo,550,information technology & services,http://www.telesign.com,http://www.linkedin.com/company/telesign,Marina del Rey,California,73500000,7375,,,
IRIUM,IRIUM-Apollo,660,information technology & services,http://www.irium.es,http://www.linkedin.com/company/irium-solucionesysistemas,Madrid,Community of Madrid,27000000,7375,,,
Ripple,Ripple-Apollo,1600,information technology & services,http://www.ripple.com,http://www.linkedin.com/company/ripple,San Francisco,California,1300000000,6211,,,
Applicantz,Applicantz-Apollo,350,information technology & services,http://www.applicantz.com,http://www.linkedin.com/company/applicantz-com,Houston,Texas,32600000,7375,,,
Teikametrics,Teikametrics-Apollo,230,information technology & services,http://www.teikametrics.com,http://www.linkedin.com/company/teikametrics,Boston,Massachusetts,45100000,7372,,,
Clever Devices,Clever Devices-Apollo,590,information technology & services,http://www.cleverdevices.com,http://www.linkedin.com/company/clever-devices,Woodbury,New York,127606000,"7372, 7371",,,
SAGE IT,SAGE IT-Apollo,840,information technology & services,http://www.sageitinc.com,http://www.linkedin.com/company/sageitinc,Frisco,Texas,44800000,7375,,,
LogicMonitor,LogicMonitor-Apollo,1200,information technology & services,http://www.logicmonitor.com,http://www.linkedin.com/company/logicmonitor,Santa Barbara,California,300000000,7375,,,
Rumos,Rumos-Apollo,330,information technology & services,http://www.rumos.pt,http://www.linkedin.com/company/rumos,Lisbon,Lisbon,,8748,,,
SysMap Solutions,SysMap Solutions-Apollo,850,information technology & services,http://www.sysmap.com.br,http://www.linkedin.com/company/sysmap-solutions,Sao Paulo,State of Sao Paulo,,7371,,,
Alcumus,Alcumus-Apollo,520,information technology & services,http://www.alcumus.com,http://www.linkedin.com/company/the-alcumus-group,Nantgarw,Wales,108000000,8742,,,
PreludeSys,PreludeSys-Apollo,920,information technology & services,http://www.preludesys.com,http://www.linkedin.com/company/prelude-systems-inc,Irvine,California,44200000,7375,,,
PAR Technology,PAR Technology-Apollo,1600,information technology & services,http://www.partech.com,http://www.linkedin.com/company/partechnology,New Hartford,New York,455547000,7375,,,
DigiMantra,DigiMantra-Apollo,260,information technology & services,http://www.digimantra.com,http://www.linkedin.com/company/digimantra-labs,Sahibzada Ajit Singh Nagar,Punjab,35900000,7371,,,
Tealium,Tealium-Apollo,640,information technology & services,http://www.tealium.com,http://www.linkedin.com/company/tealium,San Diego,California,100000000,7374,,,
Britenet,Britenet-Apollo,720,information technology & services,http://www.britenet.eu,http://www.linkedin.com/company/britenet,Warszawa,woj. mazowieckie,55500000,7375,,,
Relevance Lab,Relevance Lab-Apollo,550,information technology & services,http://www.relevancelab.com,http://www.linkedin.com/company/relevance-lab,San Jose,California,40000000,7375,,,
"V-Soft Consulting Group, Inc.","V-Soft Consulting Group, Inc.-Apollo",1400,information technology & services,http://www.vsoftconsulting.com,http://www.linkedin.com/company/vsoftconsulting,Louisville,Kentucky,118000000,7375,,,
Launch Consulting Group,Launch Consulting Group-Apollo,520,information technology & services,http://www.launchconsulting.com,http://www.linkedin.com/company/launch-consulting-group,Bellevue,Washington,24828000,7371,,,
Precision Technologies,Precision Technologies-Apollo,410,information technology & services,http://www.precisiontechcorp.com,http://www.linkedin.com/company/precision-technologies-corp-,South Brunswick Township,New Jersey,43000000,7371,,,
Turnberry Solutions,Turnberry Solutions-Apollo,810,management consulting,http://www.turnberrysolutions.com,http://www.linkedin.com/company/turnberrysolutions,Philadelphia,Pennsylvania,15500000,8742,,,
Calero,Calero-Apollo,940,information technology & services,http://www.calero.com,http://www.linkedin.com/company/calero,Rochester,New York,50000000,7375,,,
DISCO,DISCO-Apollo,570,information technology & services,http://www.csdisco.com,http://www.linkedin.com/company/csdisco,Austin,Texas,156849000,7375,,,
Genesis10,Genesis10-Apollo,1100,information technology & services,http://www.genesis10.com,http://www.linkedin.com/company/genesis10,New York,New York,55200000,7380,,,
Stratacent,Stratacent-Apollo,210,information technology & services,http://www.stratacent.com,http://www.linkedin.com/company/stratacent,Jersey City,New Jersey,7300000,,,,
CAS Training,CAS Training-Apollo,240,professional training & coaching,http://www.cas-training.com,http://www.linkedin.com/company/cas-training,Madrid,Community of Madrid,5500000,8299,,,
Quorum,Quorum-Apollo,350,information technology & services,http://www.quorum.us,http://www.linkedin.com/company/quorum-analytics-inc-,Washington,District of Columbia,61100000,8742,,,
Applaudo,Applaudo-Apollo,470,information technology & services,http://www.applaudo.com,http://www.linkedin.com/company/applaudo,San Salvador,San Salvador Department,175000000,7375,,,
Duck Creek Technologies,Duck Creek Technologies-Apollo,1900,information technology & services,http://www.duckcreek.com,http://www.linkedin.com/company/duck-creek-technologies,Boston,Massachusetts,310900000,7375,,,
Vertisystem (A MOURI Tech Company),Vertisystem (A MOURI Tech Company)-Apollo,420,management consulting,http://www.vertisystem.com,http://www.linkedin.com/company/vertisystem,Fremont,California,95000000,7375,,,
Valenta,Valenta-Apollo,600,information technology & services,http://www.valenta.io,http://www.linkedin.com/company/valenta,Clifton,New Jersey,55500000,7375,,,
